SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-25-2017,Single Family Residential,2503 Bradford Ave,Hayward,CA,94545,665000,3,2.0,Hayward,1148,5238,1958,166,579,,Sold,,,http://www.redfin.com/CA/Hayward/2503-Bradford-Ave-94545/home/1823473,EBRD/CCAR/Bay East,40790783,N,Y,37.6358441,-122.1084026
PAST SALE,December-29-2017,Single Family Residential,1145 Tiegen Dr,Hayward,CA,94542,530000,2,1.0,Hayward,846,5670,1948,40,626,,Sold,,,http://www.redfin.com/CA/Hayward/1145-Tiegen-Dr-94542/home/1641617,EBRD/CCAR/Bay East,40803716,N,Y,37.6662467,-122.0726949
PAST SALE,January-31-2018,Single Family Residential,1230 Mattox Rd,Hayward,CA,94541,675000,4,3.0,Hayward,1967,22920,1941,7,343,,Sold,,,http://www.redfin.com/CA/Hayward/1230-Mattox-Rd-94541/home/1441011,EBRD/CCAR/Bay East,40795690,N,Y,37.6866997,-122.0982569
PAST SALE,August-25-2017,Townhouse,1320 Mattox Rd,Hayward,CA,94541,500000,2,2.0,Hayward,1531,,2005,166,327,252,Sold,,,http://www.redfin.com/CA/Hayward/1320-Mattox-Rd-94541/home/949256,EBRD/CCAR/Bay East,40788801,N,Y,37.687562,-122.097163
PAST SALE,November-30-2017,Townhouse,800 Old Oak Ln #4,Hayward,CA,94541,586000,3,2.5,Hayward,1303,1201,2011,69,450,211,Sold,,,http://www.redfin.com/CA/Hayward/800-Old-Oak-Ln-94541/unit-4/home/22682694,EBRD/CCAR/Bay East,40801289,N,Y,37.6650673,-122.0989584
PAST SALE,September-29-2017,Townhouse,22801 Paseo Pl,Hayward,CA,94541,562000,3,3.0,Hayward,1595,,2004,131,352,320,Sold,,,http://www.redfin.com/CA/Hayward/22801-Paseo-Pl-94541/home/1442983,EBRD/CCAR/Bay East,40795059,N,Y,37.6684107,-122.0837251
PAST SALE,August-22-2017,Single Family Residential,17420 Via La Jolla,San Lorenzo,CA,94580,660000,3,2.0,San Lorenzo Vilg,1531,5408,1952,169,431,13,Sold,,,http://www.redfin.com/CA/San-Lorenzo/17420-Via-La-Jolla-94580/home/1411799,EBRD/CCAR/Bay East,40787828,N,Y,37.66435,-122.134635
PAST SALE,December-15-2017,Condo/Co-op,692 Macabee Way,Hayward,CA,94541,668000,3,3.0,Hayward,1516,,2011,54,441,223,Sold,,,http://www.redfin.com/CA/Hayward/692-Macabee-Way-94541/home/40087039,EBRD/CCAR/Bay East,40804460,N,Y,37.662464,-122.091361
PAST SALE,September-19-2017,Single Family Residential,820 Leonardo Way,Hayward,CA,94541,690000,4,2.0,Winton Grove,1594,5490,1956,141,433,,Sold,,,http://www.redfin.com/CA/Hayward/820-Leonardo-Way-94541/home/1374097,EBRD/CCAR/Bay East,40790021,N,Y,37.6573341,-122.1085448
PAST SALE,January-9-2018,Single Family Residential,27790 calaroga Ave,Hayward,CA,94545,752000,4,2.0,Hayward,1359,5300,1955,29,553,,Sold,,,http://www.redfin.com/CA/Hayward/27790-Calaroga-Ave-94545/home/1010281,San Francisco MLS,465607,N,Y,37.6264301,-122.0890158
