SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-28-2017,Condo/Co-op,153 N San Mateo Dr #101,SAN MATEO,CA,94401,650000,1,1.0,SAN MATEO,812,35711,1995,308,800,604,Sold,,,http://www.redfin.com/CA/San-Mateo/153-N-San-Mateo-Dr-94401/unit-101/home/966327,MLSListings,ML81639575,N,Y,37.5691441,-122.3296792
PAST SALE,June-30-2016,Single Family Residential,545 Alhambra Rd,San Mateo,CA,94402,1788000,3,2.0,San Mateo,1590,5671,1950,579,1125,,Sold,,,http://www.redfin.com/CA/San-Mateo/545-Alhambra-Rd-94402/home/711983,San Francisco MLS,445149,N,Y,37.5583479,-122.3268177
PAST SALE,May-24-2017,Single Family Residential,3712 Branson Dr,SAN MATEO,CA,94403,1550000,5,3.0,SAN MATEO,2490,5000,1949,251,622,,Sold,,,http://www.redfin.com/CA/San-Mateo/3712-Branson-Dr-94403/home/741577,MLSListings,ML81646488,N,Y,37.5397454,-122.284787
PAST SALE,April-8-2016,Townhouse,121 State St,San Mateo,CA,94401,1465000,3,2.5,San Mateo,1968,,2014,662,744,,Sold,,,http://www.redfin.com/CA/San-Mateo/121-State-St-94401/home/103409140,San Francisco MLS,440999,N,Y,37.5742589,-122.3394871
PAST SALE,January-19-2018,Condo/Co-op,3041 Los Prados St #205,SAN MATEO,CA,94403,650000,2,2.0,SAN MATEO,956,64155,1963,11,680,385,Sold,,,http://www.redfin.com/CA/San-Mateo/3041-Los-Prados-St-94403/unit-205/home/2050854,MLSListings,ML81687082,N,Y,37.5450553,-122.2819633
PAST SALE,July-14-2016,Condo/Co-op,320 Peninsula Ave #211,San Mateo,CA,94401,680000,2,2.0,San Mateo,930,,1987,565,731,375,Sold,,,http://www.redfin.com/CA/San-Mateo/320-Peninsula-Ave-94401/unit-211/home/1074686,San Francisco MLS,444556,N,Y,37.5776793,-122.3377658
PAST SALE,May-19-2017,Condo/Co-op,2086 S Delaware St #27,SAN MATEO,CA,94403,865000,2,1.5,SAN MATEO,1008,52514,1993,256,858,300,Sold,,,http://www.redfin.com/CA/San-Mateo/2086-S-Delaware-St-94403/unit-27/home/1619677,MLSListings,ML81647513,N,Y,37.549803,-122.305785
PAST SALE,June-21-2016,Single Family Residential,1210 S Delaware St,San Mateo,CA,94402,1200000,3,1.0,San Mateo,1180,5000,1946,588,1017,,Sold,,,http://www.redfin.com/CA/San-Mateo/1210-S-Delaware-St-94402/home/1582089,San Francisco MLS,446211,N,Y,37.5594701,-122.3120317
PAST SALE,October-5-2017,Townhouse,2856 Catalino St Unit J4,SAN MATEO,CA,94403,1420000,3,3.5,SAN MATEO,1710,6121,2015,117,830,317,Sold,,,http://www.redfin.com/CA/San-Mateo/2856-Catalino-St-94403/unit-J4/home/108551435,MLSListings,ML81676934,N,Y,37.544012,-122.297531
PAST SALE,November-7-2016,Single Family Residential,1713 Los Altos Dr,SAN MATEO,CA,94402,1905000,4,3.5,SAN MATEO,2290,9344,1971,449,832,25,Sold,,,http://www.redfin.com/CA/San-Mateo/1713-Los-Altos-Dr-94402/home/2047517,MLSListings,ML81626538,N,Y,37.5285214,-122.3388076
