SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,December-29-2017,Condo/Co-op,464 Clinton St #311,REDWOOD CITY,CA,94062,526000,1,1.0,REDWOOD CITY,761,19408,1961,32,691,281,Sold,,,http://www.redfin.com/CA/Redwood-City/464-Clinton-St-94062/unit-311/home/1299729,MLSListings,ML81685953,N,Y,37.481607,-122.2342099
PAST SALE,September-29-2017,Single Family Residential,2466 Park Rd,REDWOOD CITY,CA,94062,2372000,4,3.5,REDWOOD CITY,3880,10000,1992,123,611,,Sold,,,http://www.redfin.com/CA/Emerald-Hills/2466-Park-Rd-94062/home/1979740,MLSListings,ML81676929,N,Y,37.4675837,-122.2662143
PAST SALE,September-1-2017,Single Family Residential,1204 Sierra St,REDWOOD CITY,CA,94061,1060000,2,1.0,REDWOOD CITY,750,3000,1960,151,1413,,Sold,,,http://www.redfin.com/CA/Redwood-City/1204-Sierra-St-94061/home/1882124,MLSListings,ML81674398,N,Y,37.468287,-122.2348742
PAST SALE,January-18-2018,Single Family Residential,146 Springdale Way,REDWOOD CITY,CA,94062,2078000,5,4.0,REDWOOD CITY,3340,16500,1957,12,622,,Sold,,,http://www.redfin.com/CA/Emerald-Hills/146-Springdale-Way-94062/home/2052401,MLSListings,ML81686717,N,Y,37.4730482,-122.2731733
PAST SALE,August-31-2017,Single Family Residential,1915 Vera Ave,REDWOOD CITY,CA,94061,2010500,4,3.0,REDWOOD CITY,2088,6390,1949,152,963,,Sold,,,http://www.redfin.com/CA/Redwood-City/1915-Vera-Ave-94061/home/1144530,MLSListings,ML81676230,N,Y,37.4685454,-122.2422737
PAST SALE,October-30-2017,Single Family Residential,424 Quartz St,REDWOOD CITY,CA,94062,2410000,4,2.0,REDWOOD CITY,3115,11682,1937,92,774,,Sold,,,http://www.redfin.com/CA/Redwood-City/424-Quartz-St-94062/home/1616927,MLSListings,ML81680830,N,Y,37.4755274,-122.2444391
PAST SALE,November-15-2017,Single Family Residential,1074 Connecticut Dr,REDWOOD CITY,CA,94061,1370000,3,1.5,REDWOOD CITY,1330,5890,1952,76,1030,,Sold,,,http://www.redfin.com/CA/Redwood-City/1074-Connecticut-Dr-94061/home/1963761,MLSListings,ML81681453,N,Y,37.4638581,-122.2435076
PAST SALE,November-14-2017,Single Family Residential,1711 Vera Ave,REDWOOD CITY,CA,94061,1350000,3,1.0,REDWOOD CITY,1140,6215,1951,77,1184,,Sold,,,http://www.redfin.com/CA/Redwood-City/1711-Vera-Ave-94061/home/834742,MLSListings,ML81681515,N,Y,37.4697761,-122.2406326
PAST SALE,November-17-2017,Single Family Residential,737 Ruby St,REDWOOD CITY,CA,94061,1175000,2,1.0,REDWOOD CITY,940,6000,1947,74,1250,,Sold,,,http://www.redfin.com/CA/Redwood-City/737-Ruby-St-94061/home/831849,MLSListings,ML81680802,N,Y,37.470103,-122.2416022
PAST SALE,November-3-2017,Single Family Residential,302 Myrtle St,REDWOOD CITY,CA,94062,1950000,4,2.0,REDWOOD CITY,2130,5170,1936,88,915,,Sold,,,http://www.redfin.com/CA/Redwood-City/302-Myrtle-St-94062/home/830954,MLSListings,ML81679824,N,Y,37.477329,-122.2442625
PAST SALE,December-8-2017,Single Family Residential,707 Sapphire St,REDWOOD CITY,CA,94061,1498888,3,2.0,REDWOOD CITY,1230,5400,1948,53,1219,,Sold,,,http://www.redfin.com/CA/Redwood-City/707-Sapphire-St-94061/home/1850524,MLSListings,ML81683698,N,Y,37.4698712,-122.2427724
PAST SALE,,Single Family Residential,330 Grand St,Redwood City,CA,94062,1285000,3,1.0,,1680,6500,1930,,765,,,,,http://www.redfin.com/CA/Redwood-City/330-Grand-St-94062/home/807433,,,N,Y,37.4806922,-122.2392147
PAST SALE,December-18-2017,Single Family Residential,1603 Madison Ave,REDWOOD CITY,CA,94061,1050000,2,1.5,REDWOOD CITY,950,5400,1946,43,1105,,Sold,,,http://www.redfin.com/CA/Redwood-City/1603-Madison-Ave-94061/home/1767260,MLSListings,ML81683819,N,Y,37.4713962,-122.24094
PAST SALE,December-22-2017,Single Family Residential,1158 Virginia Ave,REDWOOD CITY,CA,94061,1160000,2,1.0,REDWOOD CITY,960,6000,1949,39,1208,,Sold,,,http://www.redfin.com/CA/Redwood-City/1158-Virginia-Ave-94061/home/1154107,MLSListings,ML81686176,N,Y,37.4663276,-122.2396664
PAST SALE,September-29-2017,Single Family Residential,3509 Page St,REDWOOD CITY,CA,94063,1250000,3,2.0,REDWOOD CITY,1760,6700,1947,123,710,,Sold,,,http://www.redfin.com/CA/Redwood-City/3509-Page-St-94063/home/1059871,MLSListings,ML81674495,N,Y,37.4816518,-122.1901859
PAST SALE,December-11-2017,Single Family Residential,32 Lorelei Ln,MENLO PARK,CA,94025,2053000,3,2.0,MENLO PARK,1480,5000,1956,50,1387,,Sold,,,http://www.redfin.com/CA/Menlo-Park/32-Lorelei-Ln-94025/home/851638,MLSListings,ML81683927,N,Y,37.4774488,-122.1848587
PAST SALE,December-13-2017,Single Family Residential,851 15th Ave,MENLO PARK,CA,94025,1376000,3,1.0,MENLO PARK,1190,5250,1950,48,1156,,Sold,,,http://www.redfin.com/CA/Menlo-Park/851-Fifteenth-Ave-94025/home/2014754,MLSListings,ML81684615,N,Y,37.4766288,-122.1895498
PAST SALE,August-21-2017,Single Family Residential,520 Becket Dr,REDWOOD CITY,CA,94065,1850000,4,3.0,REDWOOD CITY,1820,8320,1973,162,1016,,Sold,,,http://www.redfin.com/CA/Redwood-City/520-Becket-Dr-94065/home/1399708,MLSListings,ML81670951,N,Y,37.5273196,-122.2476557
PAST SALE,October-2-2017,Single Family Residential,557 Cringle Dr,REDWOOD CITY,CA,94065,2120000,5,4.0,REDWOOD CITY,2660,6500,1973,120,797,,Sold,,,http://www.redfin.com/CA/Redwood-City/557-Cringle-Dr-94065/home/1837943,MLSListings,ML81676186,N,Y,37.528162,-122.2466649
PAST SALE,January-8-2018,Single Family Residential,12 Riviera Cir,Redwood Shores,CA,94065,2100000,4,2.5,Redwood Shores,2490,4784,1979,22,843,91,Sold,,,http://www.redfin.com/CA/Redwood-City/12-Riviera-Cir-94065/home/942115,MLSListings,ML81685912,N,Y,37.5297226,-122.2447309
PAST SALE,,Multi-Family (2-4 Unit),511 Alden St,Redwood City,CA,94063,575000,3,2.0,,1902,5000,1924,,302,,,,,http://www.redfin.com/CA/Redwood-City/511-Alden-St-94063/home/2056363,,,N,Y,37.4912486,-122.2322641
