SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,December-19-2016,Vacant Land,0000 Pescadero Creek Rd,LOMA MAR,CA,94021,18000,,,LOMA MAR,,8712,,407,,,Sold,,,http://www.redfin.com/CA/Loma-Mar/9500-Pescadero-Creek-Rd-94021/home/17494548,MLSListings,ML81633032,N,Y,37.2745676,-122.3009654
PAST SALE,June-14-2017,Single Family Residential,560 Wurr Rd,LOMA MAR,CA,94021,799000,3,2.0,LOMA MAR,1400,98706,1975,230,571,,Sold,,,http://www.redfin.com/CA/Loma-Mar/560-Wurr-Rd-94021/home/907941,MLSListings,ML81626954,N,Y,37.27093,-122.297769
PAST SALE,August-8-2017,Single Family Residential,66 Wurr Rd,LOMA MAR,CA,94021,760000,3,2.0,LOMA MAR,1540,25700,1970,175,494,,Sold,,,http://www.redfin.com/CA/Loma-Mar/66-Wurr-Rd-94021/home/2020465,MLSListings,ML81655504,N,Y,37.270882,-122.30665
PAST SALE,May-15-2017,Single Family Residential,441 Wurr Rd,LOMA MAR,CA,94021,630000,2,2.0,LOMA MAR,1240,62500,1960,260,508,,Sold,,,http://www.redfin.com/CA/Loma-Mar/441-Wurr-Rd-94021/home/2002647,MLSListings,ML81650211,N,Y,37.271278,-122.301481
PAST SALE,December-21-2016,Vacant Land,0000 Buena Vista Ave,LOMA MAR,CA,94021,5000,,,LOMA MAR,,17160,,405,,,Sold,,,http://www.redfin.com/CA/Loma-Mar/Buena-Vista-Rd-94021/home/111362943,MLSListings,ML81633033,N,Y,37.2680248,-122.3121939
PAST SALE,October-27-2015,Single Family Residential,50 Wurr Rd,LOMA MAR,CA,94021,605000,3,2.0,LOMA MAR,1200,12060,1959,826,504,,Sold,,,http://www.redfin.com/CA/Loma-Mar/50-Wurr-Rd-94021/home/907874,MLSListings,ML81483439,N,Y,37.270599,-122.306741
PAST SALE,December-16-2015,Single Family Residential,200 WURR Rd,Loma Mar,CA,94021,1188000,3,2.0,Loma Mar,2200,939589,1986,776,540,,Sold,,,http://www.redfin.com/CA/Loma-Mar/200-Wurr-Rd-94021/home/1618014,MLSListings,ML81418521,N,Y,37.270038,-122.306135
PAST SALE,December-11-2015,Single Family Residential,30 Loma Mar Ave,LOMA MAR,CA,94021,680000,4,2.5,LOMA MAR,1850,9000,1984,781,368,,Sold,,,http://www.redfin.com/CA/Loma-Mar/30-Loma-Mar-Ave-94021/home/1898901,MLSListings,ML81467883,N,Y,37.270418,-122.309081
