SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,September-23-2015,Single Family Residential,2922 Belmont Woods Way,BELMONT,CA,94002,1610000,2,3.0,BELMONT,2560,3735,1982,860,629,418,Sold,,,http://www.redfin.com/CA/Belmont/2922-Belmont-Woods-Way-94002/home/1967139,MLSListings,ML81499105,N,Y,37.5107957,-122.3194871
PAST SALE,,Single Family Residential,2712 Comstock Cir,Belmont,CA,94002,1975000,4,2.0,,2490,13200,1965,,793,,,,,http://www.redfin.com/CA/Belmont/2712-Comstock-Cir-94002/home/2052299,,,N,Y,37.5069603,-122.3139138
PAST SALE,August-24-2016,Single Family Residential,350 ONeill Ave,BELMONT,CA,94002,935000,3,1.0,BELMONT,1090,4965,1947,524,858,,Sold,,,http://www.redfin.com/CA/Belmont/350-Oneill-Ave-94002/home/1760121,MLSListings,ML81595132,N,Y,37.5225827,-122.269674
PAST SALE,June-30-2015,Single Family Residential,1241 Judson St,BELMONT,CA,94002,1026000,4,2.5,BELMONT,1490,4968,1947,945,689,,Sold,,,http://www.redfin.com/CA/Belmont/1241-Judson-St-94002/home/744166,MLSListings,ML81467579,N,Y,37.522922,-122.2695009
PAST SALE,March-17-2016,Single Family Residential,1261 Granada St,BELMONT,CA,94002,1050000,3,1.0,BELMONT,1100,5244,1947,684,955,,Sold,,,http://www.redfin.com/CA/Belmont/Undisclosed-address-94002/home/2051266,MLSListings,ML81548193,N,Y,37.521423,-122.271016
PAST SALE,August-25-2015,Single Family Residential,1180 Judson St,BELMONT,CA,94002,1180000,3,1.0,BELMONT,1250,4968,1947,889,944,,Sold,,,http://www.redfin.com/CA/Belmont/1180-Judson-St-94002/home/1995114,MLSListings,ML81496691,N,Y,37.5229759,-122.2702222
PAST SALE,July-28-2016,Townhouse,106 Farallon Dr,BELMONT,CA,94002,1200000,3,2.5,BELMONT,1650,2709,1990,551,727,420,Sold,,,http://www.redfin.com/CA/Belmont/106-Farallon-Dr-94002/home/1885872,MLSListings,ML81590653,Y,Y,37.533821,-122.267402
PAST SALE,August-13-2015,Single Family Residential,1565 Sunnyslope Ave,BELMONT,CA,94002,1510000,4,2.5,BELMONT,2840,6490,1950,901,532,,Sold,,,http://www.redfin.com/CA/Belmont/1565-Sunnyslope-Ave-94002/home/1774507,MLSListings,ML81484742,N,Y,37.5142825,-122.2718655
PAST SALE,March-25-2015,Single Family Residential,1665 Sunnyslope Ave,BELMONT,CA,94002,1850000,4,4.0,BELMONT,2500,6435,1956,1042,740,,Sold,,,http://www.redfin.com/CA/Belmont/1665-Sunnyslope-Ave-94002/home/2057269,MLSListings,ML81451509,N,Y,37.5126023,-122.2705215
PAST SALE,May-28-2016,Condo/Co-op,1 Elm St #301,SAN CARLOS,CA,94070,895000,2,2.0,SAN CARLOS,1180,1306,1981,612,758,420,Sold,,,http://www.redfin.com/CA/San-Carlos/1-Elm-St-94070/unit-301/home/986912,MLSListings,ML81581771,N,Y,37.5124978,-122.2694072
PAST SALE,April-20-2015,Single Family Residential,1560 Sunnyslope Ave,BELMONT,CA,94002,1525000,2,2.0,BELMONT,1610,5561,1928,1016,947,,Sold,,,http://www.redfin.com/CA/Belmont/1560-Sunnyslope-Ave-94002/home/768446,MLSListings,ML81456111,N,Y,37.5140827,-122.2724739
PAST SALE,September-6-2016,Single Family Residential,29 Hillcrest Rd,SAN CARLOS,CA,94070,1825000,4,2.5,SAN CARLOS,2480,6320,1999,511,736,,Sold,,,http://www.redfin.com/CA/San-Carlos/29-Hillcrest-Rd-94070/home/1423746,MLSListings,ML81613084,N,Y,37.5096774,-122.2723612
PAST SALE,December-22-2016,Single Family Residential,1508 El Verano Way,BELMONT,CA,94002,1520000,5,3.0,BELMONT,2330,17101,1958,404,652,,Sold,,,http://www.redfin.com/CA/Belmont/1508-El-Verano-Way-94002/home/1783338,MLSListings,ML81626948,N,Y,37.512059,-122.2850901
PAST SALE,June-10-2016,Single Family Residential,1620 El Verano Way,BELMONT,CA,94002,1400000,3,2.0,BELMONT,1925,16321,1959,599,727,,Sold,,,http://www.redfin.com/CA/Belmont/1620-El-Verano-Way-94002/home/1453088,MLSListings,ML81580257,N,Y,37.5117427,-122.2878221
PAST SALE,August-7-2015,Single Family Residential,910 Notre Dame Ave,BELMONT,CA,94002,1395000,2,2.0,BELMONT,1600,5450,1955,907,872,,Sold,,,http://www.redfin.com/CA/Belmont/910-Notre-Dame-Ave-94002/home/763308,MLSListings,ML81484207,N,Y,37.514478,-122.287806
PAST SALE,,Single Family Residential,1320 Talbryn Dr,Belmont,CA,94002,3400000,1,1.0,,1050,58806,1955,,3238,,,,,http://www.redfin.com/CA/Belmont/1320-Talbryn-Dr-94002/home/1109934,,,N,Y,37.5138927,-122.2787266
PAST SALE,December-29-2016,Single Family Residential,607 Dartmouth Ave,SAN CARLOS,CA,94070,1711000,3,2.5,SAN CARLOS,1780,8750,1954,397,961,,Sold,,,http://www.redfin.com/CA/San-Carlos/607-Dartmouth-Ave-94070/home/781810,MLSListings,ML81633099,N,Y,37.5094363,-122.2827148
PAST SALE,June-15-2015,Single Family Residential,662 Dartmouth Ave,SAN CARLOS,CA,94070,1400000,4,3.0,SAN CARLOS,3130,11700,1928,960,447,,Sold,,,http://www.redfin.com/CA/San-Carlos/662-Dartmouth-Ave-94070/home/1897752,MLSListings,ML81462750,N,Y,37.509437,-122.2842494
PAST SALE,September-2-2016,Single Family Residential,514 Roxbury Way,BELMONT,CA,94002,1420000,3,2.0,BELMONT,1410,5131,1953,515,1007,,Sold,,,http://www.redfin.com/CA/Belmont/514-Roxbury-Way-94002/home/743135,MLSListings,ML81596815,Y,Y,37.5263829,-122.2779997
PAST SALE,December-18-2015,Single Family Residential,908 Holly Rd,BELMONT,CA,94002,1535000,4,2.0,BELMONT,1670,19000,1954,774,919,,Sold,,,http://www.redfin.com/CA/Belmont/908-Holly-Rd-94002/home/767209,MLSListings,ML81520869,N,Y,37.5185401,-122.2798085
PAST SALE,,Multi-Family (2-4 Unit),840 El Camino Real,Belmont,CA,94002,4800000,17,2.5,,13358,13503,1964,,359,,,,,http://www.redfin.com/CA/Belmont/840-El-Camino-Real-94002/home/767300,,,N,Y,37.5215913,-122.2777377
PAST SALE,October-1-2015,Single Family Residential,315 Chesterton Ave,BELMONT,CA,94002,1180000,3,1.0,BELMONT,1010,5000,1953,852,1168,,Sold,,,http://www.redfin.com/CA/Belmont/315-Chesterton-Ave-94002/home/1931262,MLSListings,ML81497868,N,Y,37.5294133,-122.282899
PAST SALE,April-7-2015,Condo/Co-op,400 Davey Glen Rd #4325,BELMONT,CA,94002,535000,2,2.0,BELMONT,1056,,1965,1029,507,480,Sold,,,http://www.redfin.com/CA/Belmont/400-Davey-Glen-Rd-94002/unit-4325/home/971714,MLSListings,ML81451532,N,Y,37.5254118,-122.2862638
PAST SALE,February-28-2017,Single Family Residential,321 Hiller St,BELMONT,CA,94002,1270000,3,1.0,BELMONT,1010,5501,1953,336,1257,,Sold,,,http://www.redfin.com/CA/Belmont/321-Hiller-St-94002/home/755267,MLSListings,ML81636759,N,Y,37.5283584,-122.2817201
PAST SALE,August-5-2016,Single Family Residential,619 Southview Ct,BELMONT,CA,94002,2300000,3,2.0,BELMONT,2655,12300,1963,543,866,,Sold,,,http://www.redfin.com/CA/Belmont/619-Southview-Ct-94002/home/1891814,MLSListings,ML81592311,Y,Y,37.5200087,-122.2843153
PAST SALE,July-24-2015,Single Family Residential,1809 Oak Knoll Dr,BELMONT,CA,94002,1908000,4,3.0,BELMONT,2360,6050,1976,921,808,,Sold,,,http://www.redfin.com/CA/Belmont/1809-Oak-Knoll-Dr-94002/home/1369969,MLSListings,ML81470714,N,Y,37.5214597,-122.2938188
PAST SALE,June-24-2016,Single Family Residential,1905 Hillman Ave,BELMONT,CA,94002,1500001,3,2.0,BELMONT,1420,4399,1950,585,1056,,Sold,,,http://www.redfin.com/CA/Belmont/1905-Hillman-Ave-94002/home/2001909,MLSListings,ML81584239,Y,Y,37.5221737,-122.2938421
PAST SALE,September-9-2015,Single Family Residential,1708 Terrace Dr,BELMONT,CA,94002,1250000,2,2.0,BELMONT,1540,12400,1955,874,812,,Sold,,,http://www.redfin.com/CA/Belmont/1708-Terrace-Dr-94002/home/1946887,MLSListings,ML81498755,N,Y,37.5186748,-122.2907999
PAST SALE,May-26-2017,Single Family Residential,1537 Sixth Ave,BELMONT,CA,94002,1806000,3,2.0,BELMONT,1800,6200,1930,249,1003,,Sold,,,http://www.redfin.com/CA/Belmont/1537-6th-Ave-94002/home/1505452,MLSListings,ML81647645,N,Y,37.5148556,-122.2714825
PAST SALE,February-23-2016,Single Family Residential,270 Greenfield Ave,SAN MATEO,CA,94403,1700000,3,2.0,SAN MATEO,1400,10730,1955,707,1214,,Sold,,,http://www.redfin.com/CA/San-Mateo/270-Greenfield-Ave-94403/home/1582651,MLSListings,ML81548888,N,Y,37.5259717,-122.2990086
PAST SALE,April-21-2015,Single Family Residential,2129 Coronet Blvd,BELMONT,CA,94002,1350000,3,2.0,BELMONT,1850,8500,1952,1015,730,,Sold,,,http://www.redfin.com/CA/Belmont/2129-Coronet-Blvd-94002/home/2019643,MLSListings,ML81454993,N,Y,37.5192732,-122.2986143
