SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-25-2017,Single Family Residential,34179 Valle Dr,Union City,CA,94587,945000,4,2.5,Union City,2138,3080,2005,258,442,,Sold,,,http://www.redfin.com/CA/Union-City/34179-Valle-Dr-94587/home/2110797,EBRD/CCAR/Bay East,40778921,N,Y,37.5991027,-122.0143937
PAST SALE,April-8-2016,Single Family Residential,34348 TORREY PINE Ln,Union City,CA,94587,980000,5,3.5,Ashford Place,2671,6359,2000,670,367,63,Sold,,,http://www.redfin.com/CA/Union-City/34348-Torrey-Pine-Ln-94587/home/1208595,EBRD/CCAR/Bay East,40732383,N,Y,37.593919,-122.010273
PAST SALE,July-19-2017,Single Family Residential,33159 8Th St,Union City,CA,94587,635000,3,2.0,Union City,1139,5000,1951,203,558,,Sold,,,http://www.redfin.com/CA/Union-City/33159-8th-St-94587/home/1601508,EBRD/CCAR/Bay East,40784232,N,Y,37.6041122,-122.0266376
PAST SALE,December-7-2017,Single Family Residential,3237 San Marco Way,Union City,CA,94587,865000,4,2.0,Union City,1675,5500,1969,62,516,,Sold,,,http://www.redfin.com/CA/Union-City/3237-San-Marco-Way-94587/home/1403203,EBRD/CCAR/Bay East,40801612,N,Y,37.5949869,-122.0681339
PAST SALE,May-22-2017,Single Family Residential,33545 5Th St,Union City,CA,94587,730000,4,3.5,Decoto,1524,5000,1962,261,479,,Sold,,,http://www.redfin.com/CA/Union-City/33545-5th-St-94587/home/22962677,EBRD/CCAR/Bay East,40781134,N,Y,37.6020696,-122.0205398
PAST SALE,March-27-2017,Single Family Residential,34857 Skylark Dr,Union City,CA,94587,743000,3,2.0,Union City,1167,4546,1977,317,637,,Sold,,,http://www.redfin.com/CA/Union-City/34857-Skylark-Dr-94587/home/684786,EBRD/CCAR/Bay East,40771168,N,Y,37.5840731,-122.0160114
PAST SALE,December-4-2017,Single Family Residential,1945 Sherman Dr,Union City,CA,94587,829000,3,2.0,Union City,1349,6000,1968,65,615,,Sold,,,http://www.redfin.com/CA/Union-City/1945-Sherman-Dr-94587/home/1816145,EBRD/CCAR/Bay East,40802298,N,Y,37.5949713,-122.0311013
PAST SALE,October-27-2016,Single Family Residential,33553 UNIVERSITY Dr,Union City,CA,94587,760000,3,3.0,Union City,1786,7590,1960,468,426,,Sold,,,http://www.redfin.com/CA/Union-City/33553-University-Dr-94587/home/1047598,EBRD/CCAR/Bay East,40759838,N,Y,37.5968958,-122.0276487
PAST SALE,November-17-2017,Single Family Residential,33276 Palomino Cmn,Fremont,CA,94555,1035000,4,2.5,Kensington Park,1988,4602,1993,82,521,100,Sold,,,http://www.redfin.com/CA/Fremont/33276-Palomino-Cmn-94555/home/1152610,EBRD/CCAR/Bay East,40796661,N,Y,37.5841746,-122.0515637
PAST SALE,December-28-2016,Single Family Residential,131 RED CEDAR Ln,Union City,CA,94587,977000,5,3.0,Ashford Place,2604,4786,2000,406,375,,Sold,,,http://www.redfin.com/CA/Union-City/131-Red-Cedar-Ln-94587/home/1973859,EBRD/CCAR/Bay East,40759541,N,Y,37.5963872,-122.0120531
PAST SALE,July-20-2017,Single Family Residential,4265 Remora Dr,Union City,CA,94587,1060000,5,3.0,Union City,2356,4868,1993,202,450,16,Sold,,,http://www.redfin.com/CA/Union-City/4265-Remora-Dr-94587/home/1029178,EBRD/CCAR/Bay East,40786213,N,Y,37.5940129,-122.08288
PAST SALE,December-24-2015,Single Family Residential,389 MONACO Ave,Union City,CA,94587,640000,4,2.0,Seven Hills,1287,10241,1965,776,497,,Sold,,,http://www.redfin.com/CA/Union-City/389-Monaco-Ave-94587/home/1821342,EBRD/CCAR/Bay East,40720598,N,Y,37.596306,-122.0013302
PAST SALE,,Single Family Residential,33903 11th St,Union City,CA,94587,191000,4,2.0,,1646,6000,1961,,116,,,,,http://www.redfin.com/CA/Union-City/33903-11th-St-94587/home/1642710,,,N,Y,37.5951337,-122.0214777
PAST SALE,July-6-2016,Single Family Residential,33655 5th St,Union City,CA,94587,518000,4,2.0,Decoto District,1731,5000,1913,581,299,,Sold,,,http://www.redfin.com/CA/Union-City/33655-5th-St-94587/home/1042977,EBRD/CCAR/Bay East,40740509,N,Y,37.6010428,-122.0193801
PAST SALE,July-9-2015,Single Family Residential,33133 Basswood Ave,UNION CITY,CA,94587,590000,4,2.0,UNION CITY,1259,5151,1957,944,469,,Sold,,,http://www.redfin.com/CA/Union-City/33133-Basswood-Ave-94587/home/1940557,MLSListings,ML81467336,N,Y,37.6094952,-122.0205411
PAST SALE,April-1-2015,Single Family Residential,212 F St,Union City,CA,94587-2435,555000,4,2.0,Decoto,1566,5000,1952,1043,354,,Sold,,,http://www.redfin.com/CA/Union-City/212-F-St-94587/home/973917,EBRD/CCAR/Bay East,40682215,N,Y,37.6029096,-122.0183239
PAST SALE,,Single Family Residential,663 Tamarack Dr,Union City,CA,94587,208500,3,2.0,,1685,5000,1957,,124,,,,,http://www.redfin.com/CA/Union-City/663-Tamarack-Dr-94587/home/1331150,,,N,Y,37.6101991,-122.0188646
PAST SALE,March-18-2015,Single Family Residential,33737 8TH St,Union City,CA,94587-3413,568001,3,2.0,Union City,1306,5000,1993,1057,435,,Sold,,,http://www.redfin.com/CA/Union-City/33737-8th-St-94587/home/611790,EBRD/CCAR/Bay East,40685507,N,Y,37.5989674,-122.0206232
PAST SALE,,Single Family Residential,33208 Basswood Ave,Union City,CA,94587,540000,3,2.0,,1285,8000,1958,,420,,,,,http://www.redfin.com/CA/Union-City/33208-Basswood-Ave-94587/home/846308,,,N,Y,37.6094246,-122.0193049
PAST SALE,August-17-2016,Single Family Residential,1125 Silver St,Union City,CA,94587-5485,986000,4,3.0,Union City,2472,4550,2005,539,399,,Sold,,,http://www.redfin.com/CA/Union-City/1125-Silver-St-94587/home/2112172,EBRD/CCAR/Bay East,40747528,N,Y,37.585577,-122.0067611
