SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-23-2016,Condo/Co-op,728 33rd Ave,San Francisco,CA,94121,1051000,2,1.5,Outer Richmond,1434,,1924,525,733,,Sold,,,http://www.redfin.com/CA/San-Francisco/728-33rd-Ave-94121/home/40628899,San Francisco MLS,446752,N,Y,37.775369,-122.4926644
PAST SALE,March-15-2017,Single Family Residential,454 32nd Ave,San Francisco,CA,94121,1628000,4,3.5,Central Richmond,1968,3000,1924,321,827,,Sold,,,http://www.redfin.com/CA/San-Francisco/454-32nd-Ave-94121/home/1324284,San Francisco MLS,451155,Y,Y,37.7806491,-122.4920765
PAST SALE,February-20-2015,Single Family Residential,547 35th Ave,SAN FRANCISCO,CA,94121,1620000,4,4.0,SAN FRANCISCO,2225,3000,1922,1075,728,,Sold,,,http://www.redfin.com/CA/San-Francisco/547-35th-Ave-94121/home/609938,MLSListings,ML81447987,N,Y,37.7786354,-122.495613
PAST SALE,September-3-2015,Single Family Residential,890 35th Ave,San Francisco,CA,94121,1650000,4,1.5,San Francisco County,2360,2248,1924,880,699,,Sold,,,http://www.redfin.com/CA/San-Francisco/890-35th-Ave-94121/home/2013082,BAREIS,21518318,N,Y,37.7723148,-122.4947182
PAST SALE,March-1-2016,Condo/Co-op,748 Innes Ave #302,San Francisco,CA,94124,535000,1,1.5,Hunters Point,981,,2011,700,545,620,Sold,,,http://www.redfin.com/CA/San-Francisco/748-Innes-Ave-94124/unit-302/home/73990980,San Francisco MLS,441144,N,Y,37.7305843,-122.3727017
PAST SALE,October-7-2015,Condo/Co-op,748 Innes #301,San Francisco,CA,94124,595000,2,2.0,Hunters Point,998,,2011,846,596,622,Sold,,,http://www.redfin.com/CA/San-Francisco/748-Innes-Ave-94124/unit-301/home/73990981,San Francisco MLS,431515,N,Y,37.7305843,-122.3727017
PAST SALE,May-24-2016,Single Family Residential,1459 Shafter Ave,San Francisco,CA,94124,550000,0,1.0,Bayview,950,2495,1919,616,579,,Sold,,,http://www.redfin.com/CA/San-Francisco/1459-Shafter-Ave-94124/home/1976644,San Francisco MLS,445625,N,Y,37.729348,-122.388275
PAST SALE,July-22-2015,Single Family Residential,25 Latona St,San Francisco,CA,94124,842000,5,3.0,Bayview,1725,1746,1925,923,488,,Sold,,,http://www.redfin.com/CA/San-Francisco/25-Latona-St-94124/home/1901276,San Francisco MLS,431770,N,Y,37.7320374,-122.3922995
PAST SALE,June-19-2015,Single Family Residential,1414 Oakdale Ave,San Francisco,CA,94124,630000,2,1.0,Bayview,1200,2495,1940,956,525,,Sold,,,http://www.redfin.com/CA/San-Francisco/1414-Oakdale-Ave-94124/home/926306,San Francisco MLS,431596,N,Y,37.7328404,-122.3867862
PAST SALE,,Unknown,501 Hudson Ave #204,San Francisco,CA,94124,649000,,,,,,,,,,,,,http://www.redfin.com/CA/San-Francisco/501-Hudson-Ave-94124/unit-204/home/105308626,,,N,Y,37.7284984,-122.3684596
PAST SALE,November-30-2016,Vacant Land,1283 Fitzgerald,San Francisco,CA,94134,290000,,,Bayview,,,,426,,,Sold,,,http://www.redfin.com/CA/San-Francisco/1283-Fitzgerald-Ave-94124/home/109165584,San Francisco MLS,451042,N,Y,37.7218196,-122.3928045
PAST SALE,,Condo/Co-op,451 Donahue St Unit 203,San Francisco,CA,94124,467000,1,1.0,,743,,2016,,629,,,,,http://www.redfin.com/CA/San-Francisco/451-Donahue-St-94124/unit-203/home/109315444,,,N,Y,37.7290022,-122.3696103
