SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Condo/Co-op,1101 W El Camino Real Unit 117,Mountain View,CA,94040,725000,1,1.0,,820,,2017,,884,,,,,http://www.redfin.com/CA/Mountain-View/1101-W-El-Camino-Real-94040/unit-117/home/143041988,,,N,Y,37.3871979,-122.0874144
PAST SALE,November-6-2017,Condo/Co-op,110 E Middlefield Rd Unit C,MOUNTAIN VIEW,CA,94043,865000,2,1.0,MOUNTAIN VIEW,917,910,1972,85,943,405,Sold,,,http://www.redfin.com/CA/Mountain-View/110-E-Middlefield-Rd-94043/unit-C/home/1391850,MLSListings,ML81680330,N,Y,37.398693,-122.062882
PAST SALE,,Condo/Co-op,505 Cypress Point Dr Unit 57,Mountain View,CA,94043,450000,1,1.0,,662,,1971,,680,,,,,http://www.redfin.com/CA/Mountain-View/505-Cypress-Point-Dr-94043/unit-57/home/623172,,,N,Y,37.39769,-122.072516
PAST SALE,November-27-2017,Condo/Co-op,400 Ortega Ave #211,MOUNTAIN VIEW,CA,94040,625000,1,1.0,MOUNTAIN VIEW,763,1300,1975,64,819,359,Sold,,,http://www.redfin.com/CA/Mountain-View/400-Ortega-Ave-94040/unit-211/home/2121055,MLSListings,ML81676937,N,Y,37.4000103,-122.1052618
PAST SALE,November-15-2017,Condo/Co-op,183 Del Medio Ave #209,MOUNTAIN VIEW,CA,94040,635000,1,1.0,MOUNTAIN VIEW,756,756,1962,76,840,354,Sold,,,http://www.redfin.com/CA/Mountain-View/183-Del-Medio-Ave-94040/unit-209/home/12171991,MLSListings,ML81681294,N,Y,37.4078715,-122.1118772
PAST SALE,December-14-2017,Single Family Residential,386 Loreto St,MOUNTAIN VIEW,CA,94041,1900000,2,1.0,MOUNTAIN VIEW,952,5401,1927,47,1996,,Sold,,,http://www.redfin.com/CA/Mountain-View/386-Loreto-St-94041/home/1316232,MLSListings,ML81687111,N,Y,37.3900813,-122.0754941
PAST SALE,December-4-2017,Condo/Co-op,505 Cypress Point Dr #280,MOUNTAIN VIEW,CA,94041,685000,1,1.0,MOUNTAIN VIEW,784,2000,1971,57,874,434,Sold,,,http://www.redfin.com/CA/Mountain-View/505-Cypress-Point-Dr-94043/unit-280/home/1798174,MLSListings,ML81683563,N,Y,37.39769,-122.072516
PAST SALE,November-22-2017,Single Family Residential,1757 Crane Ave,MOUNTAIN VIEW,CA,94040,2050000,3,1.0,MOUNTAIN VIEW,1077,5000,1952,69,1903,,Sold,,,http://www.redfin.com/CA/Mountain-View/1757-Crane-Ave-94040/home/1527830,MLSListings,ML81682751,N,Y,37.371612,-122.086232
PAST SALE,,Condo/Co-op,1101 W El Camino Real Unit 309,Mountain View,CA,94040,792500,1,1.0,,845,,2017,,938,,,,,http://www.redfin.com/CA/Mountain-View/1101-W-El-Camino-Real-94040/unit-309/home/143042005,,,N,Y,37.3871979,-122.0874144
PAST SALE,December-12-2017,Condo/Co-op,500 W Middlefield Rd #81,MOUNTAIN VIEW,CA,94043,645000,1,1.0,MOUNTAIN VIEW,564,2000,1971,49,1144,385,Sold,,,http://www.redfin.com/CA/Mountain-View/500-W-Middlefield-Rd-94043/unit-81/home/1591441,MLSListings,ML81683457,N,Y,37.401406825,-122.0702666
PAST SALE,November-3-2017,Condo/Co-op,264 N Whisman Rd #20,MOUNTAIN VIEW,CA,94043,850000,2,1.0,MOUNTAIN VIEW,1087,3135,1978,88,782,652,Sold,,,http://www.redfin.com/CA/Mountain-View/264-N-Whisman-Rd-94043/unit-20/home/1197739,MLSListings,ML81678753,N,Y,37.3961285,-122.0601963
PAST SALE,December-29-2017,Condo/Co-op,400-B Ortega Ave #302,MOUNTAIN VIEW,CA,94040,725000,1,1.0,MOUNTAIN VIEW,763,1300,1975,32,950,359,Sold,,,http://www.redfin.com/CA/Mountain-View/400-Ortega-Ave-94040/unit-302/home/12171858,MLSListings,ML81682611,N,Y,37.4000103,-122.1052618
PAST SALE,December-27-2017,Condo/Co-op,500 W Middlefield Rd #100,MOUNTAIN VIEW,CA,94043,760000,1,1.0,MOUNTAIN VIEW,740,796,1971,34,1027,422,Sold,,,http://www.redfin.com/CA/Mountain-View/500-W-Middlefield-Rd-94043/unit-100/home/934701,MLSListings,ML81685646,N,Y,37.399578,-122.0708945
PAST SALE,January-16-2018,Condo/Co-op,500 W Middlefield Rd #181,MOUNTAIN VIEW,CA,94043,750000,1,1.0,MOUNTAIN VIEW,720,2000,1971,14,1042,411,Sold,,,http://www.redfin.com/CA/Mountain-View/500-W-Middlefield-Rd-94043/unit-181/home/1622194,MLSListings,ML81684258,N,Y,37.401406825,-122.0702666
PAST SALE,,Condo/Co-op,938 Clark Ave Apt 17,Mountain View,CA,94040,840000,2,1.0,,982,,1978,,855,,,,,http://www.redfin.com/CA/Mountain-View/938-Clark-Ave-94040/unit-17/home/637760,,,N,Y,37.3926924,-122.0999422
