SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Single Family Residential,424 Redwood Ave,Redwood City,CA,94061,300000,2,1.0,,1130,27520,1950,,265,,,,,http://www.redfin.com/CA/Redwood-City/424-Redwood-Ave-94061/home/1857844,,,N,Y,37.234099,-122.321759
PAST SALE,November-4-2016,Single Family Residential,10721 Cabrillo Hwy,PESCADERO,CA,94060,6875000,4,3.5,PESCADERO,4455,113256,2014,452,1543,,Sold,,,http://www.redfin.com/CA/Pescadero/10721-Cabrillo-Hwy-94060/home/908834,MLSListings,ML81626903,N,Y,37.221046,-122.407653
PAST SALE,October-7-2015,Single Family Residential,7074 Pescadero Creek Rd,PESCADERO,CA,94060,535000,2,1.0,PESCADERO,777,77972,1950,846,689,,Sold,,,http://www.redfin.com/CA/Pescadero/7074-Pescadero-Creek-Rd-94060/home/2043284,MLSListings,ML81467464,N,Y,37.2687931,-122.3149091
PAST SALE,May-11-2016,Single Family Residential,77 Madrone Ave,PESCADERO,CA,94060,390000,2,1.5,PESCADERO,1554,51836,1927,629,251,,Sold,,,http://www.redfin.com/CA/Pescadero/77-Madrone-Ave-94060/home/1051227,MLSListings,ML81563640,N,Y,37.231613,-122.32688
PAST SALE,July-31-2015,Single Family Residential,290 Waterman Ave,PESCADERO,CA,94060,539000,1,1.0,PESCADERO,450,242194,1930,914,1198,,Sold,,,http://www.redfin.com/CA/Pescadero/290-Waterman-Ave-94060/home/2049737,MLSListings,ML81483948,N,Y,37.24582,-122.34066
PAST SALE,February-5-2015,Single Family Residential,424 REDWOOD Ave,Pescadero,CA,94060,300000,2,1.0,Pescadero,1130,27520,1950,1090,265,,Sold,,,http://www.redfin.com/CA/Pescadero/424-Redwood-Ave-94060/home/113806710,MLSListings,ML81439396,N,Y,37.2374626,-122.3207517
PAST SALE,,Single Family Residential,740 Native Sons Rd,Pescadero,CA,94060,1000000,,,,,308840,,,,,,,,http://www.redfin.com/CA/Pescadero/740-Native-Sons-Rd-94060/home/1072788,,,N,Y,37.249166,-122.339533
PAST SALE,September-2-2016,Single Family Residential,12901 Cabrillo Hwy,PESCADERO,CA,94060,2175000,3,2.0,PESCADERO,2400,45302,2012,515,906,,Sold,,,http://www.redfin.com/CA/Pescadero/12901-Cabrillo-Hwy-94060/home/1932512,MLSListings,ML81595017,N,Y,37.249791,-122.417276
PAST SALE,February-27-2015,Single Family Residential,12871 Hwy. 1,PESCADERO,CA,94060,3800000,4,3.0,PESCADERO,3075,85378,2003,1068,1236,,Sold,,,http://www.redfin.com/CA/Pescadero/12871-Cabrillo-Hwy-94060/home/2027673,MLSListings,ML81448025,N,Y,37.249057,-122.417618
PAST SALE,May-19-2015,Single Family Residential,117 STAGE Rd,Pescadero,CA,94060,795000,2,1.0,Pescadero,1070,20000,1946,987,743,,Sold,,,http://www.redfin.com/CA/Pescadero/Stage-Rd-94060/home/1517794,MLSListings,ML81431548,N,Y,37.2509766,-122.3830174
PAST SALE,November-16-2015,Single Family Residential,601 FARMIN Rd,Pescadero,CA,94060,950000,3,2.0,Pescadero,1707,156816,1983,806,557,,Sold,,,http://www.redfin.com/CA/Pescadero/601-Farmin-Ln-94060/home/910471,MLSListings,ML81440501,N,Y,37.2461569,-122.339434
PAST SALE,March-17-2015,Single Family Residential,701 Bean Hollow Rd,Pescadero,CA,94060,1050000,3,2.0,San Mateo,,348480,1979,1050,,,Sold,,,http://www.redfin.com/CA/Pescadero/701-Bean-Hollow-Rd-94060/home/1489611,San Francisco MLS,428682,N,Y,37.231878,-122.406812
PAST SALE,,Single Family Residential,10257 Cabrillo Hwy,Pescadero,CA,94060,395000,3,2.0,,3050,86249,1986,,130,,,,,http://www.redfin.com/CA/Pescadero/10257-Cabrillo-Hwy-94060/home/908784,,,N,Y,37.2144087,-122.4074455
