SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,October-19-2016,Single Family Residential,120 Hudson St,REDWOOD CITY,CA,94062,1620000,3,3.0,REDWOOD CITY,1490,6499,1924,468,1087,,Sold,,,http://www.redfin.com/CA/Redwood-City/120-Hudson-St-94062/home/804940,MLSListings,ML81612645,N,Y,37.4832284,-122.2439388
PAST SALE,April-11-2016,Single Family Residential,366 Iris St,REDWOOD CITY,CA,94062,1865000,4,2.5,REDWOOD CITY,2050,6499,1931,659,910,,Sold,,,http://www.redfin.com/CA/Redwood-City/366-Iris-St-94062/home/2048717,MLSListings,ML81564947,N,Y,37.4789982,-122.2402551
PAST SALE,August-11-2016,Single Family Residential,371 Jeter St,REDWOOD CITY,CA,94062,1475000,4,3.0,REDWOOD CITY,2000,6499,1948,537,738,,Sold,,,http://www.redfin.com/CA/Redwood-City/371-Jeter-St-94062/home/1416326,MLSListings,ML81562776,N,Y,37.4787141,-122.2405757
PAST SALE,January-21-2017,Single Family Residential,931 Harrison Ave,REDWOOD CITY,CA,94062,1499000,3,2.0,REDWOOD CITY,1550,6499,1948,374,967,,Sold,,,http://www.redfin.com/CA/Redwood-City/931-Harrison-Ave-94062/home/1881756,MLSListings,ML81626720,N,Y,37.4773504,-122.2388632
PAST SALE,July-20-2016,Single Family Residential,527 Jackson Ave,REDWOOD CITY,CA,94061,650000,3,1.0,REDWOOD CITY,1240,5200,1926,559,524,,Sold,,,http://www.redfin.com/CA/Redwood-City/527-Jackson-Ave-94061/home/1444164,MLSListings,ML81589890,N,Y,37.4786056,-122.2332217
PAST SALE,,Multi-Family (2-4 Unit),910 Clinton St,Redwood City,CA,94061,9450000,30,2.0,,18687,13875,1972,,506,,,,,http://www.redfin.com/CA/Redwood-City/910-Clinton-St-94061/home/814405,,,N,Y,37.4782649,-122.229745
PAST SALE,April-5-2016,Single Family Residential,1820 Middlefield Rd,REDWOOD CITY,CA,94063,820000,3,2.0,REDWOOD CITY,1090,4400,1925,665,752,,Sold,,,http://www.redfin.com/CA/Redwood-City/1820-Middlefield-Rd-94063/home/1633219,MLSListings,ML81550576,N,Y,37.4815122,-122.2205055
PAST SALE,December-14-2016,Condo/Co-op,1090 Main St #104,REDWOOD CITY,CA,94063,700000,2,2.0,REDWOOD CITY,1172,29853,1983,412,597,477,Sold,,,http://www.redfin.com/CA/Redwood-City/1090-Main-St-94063/unit-104/home/1299486,MLSListings,ML81630741,N,Y,37.4831836,-122.2263905
PAST SALE,July-14-2016,Condo/Co-op,630 Bair Island Rd #111,REDWOOD CITY,CA,94063,985000,2,2.0,REDWOOD CITY,1382,,2012,565,713,240,Sold,,,http://www.redfin.com/CA/Redwood-City/630-Bair-Island-Rd-94063/unit-111/home/51671620,MLSListings,ML81588338,N,Y,37.4958568,-122.2255752
PAST SALE,,Condo/Co-op,630 Bair Island Rd Unit 110,Redwood City,CA,94063,880000,2,2.0,,1249,,2012,,705,,,,,http://www.redfin.com/CA/Redwood-City/630-Bair-Island-Rd-94063/unit-110/home/51671632,,,N,Y,37.4958568,-122.2255752
PAST SALE,March-31-2016,Condo/Co-op,642 Bair Island Rd #1001,REDWOOD CITY,CA,94063,1300000,3,2.5,REDWOOD CITY,1689,1689,2014,670,770,240,Sold,,,http://www.redfin.com/CA/Redwood-City/642-Bair-Island-Rd-94063/unit-1001/home/103188956,MLSListings,ML81548033,N,Y,37.4960153,-122.2241854
PAST SALE,March-2-2017,Townhouse,654 Sea Anchor Dr #2306,REDWOOD CITY,CA,94063,1380000,3,2.5,REDWOOD CITY,1595,,2015,334,865,256,Sold,,,http://www.redfin.com/CA/Redwood-City/654-Sea-Anchor-Dr-94063/unit-2306/home/109581835,MLSListings,ML81635527,N,Y,37.4977956,-122.2225527
PAST SALE,September-19-2016,Single Family Residential,1120 Adams St,REDWOOD CITY,CA,94061,711000,2,1.0,REDWOOD CITY,610,5301,1988,498,1166,,Sold,,,http://www.redfin.com/CA/Redwood-City/1120-Adams-St-94061/home/1523554,MLSListings,ML81598896,N,Y,37.4775956,-122.2264011
PAST SALE,September-6-2016,Multi-Family (5+ Unit),1903 Middlefield Rd,REDWOOD CITY,CA,94063,3150000,3,,REDWOOD CITY,8116,8537,1961,511,388,,Sold,,,http://www.redfin.com/CA/Redwood-City/1903-Middlefield-Rd-94063/home/813299,MLSListings,ML81589457,N,Y,37.481597,-122.219706
PAST SALE,,Single Family Residential,701 Sixth Ave,Redwood City,CA,94063,620000,2,1.0,,980,3750,1959,,633,,,,,http://www.redfin.com/CA/Redwood-City/701-Sixth-Ave-94063/home/1551414,,,N,Y,37.4779605,-122.1999271
