SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,January-31-2018,Single Family Residential,1230 Mattox Rd,Hayward,CA,94541,675000,4,3.0,Hayward,1967,22920,1941,7,343,,Sold,,,http://www.redfin.com/CA/Hayward/1230-Mattox-Rd-94541/home/1441011,EBRD/CCAR/Bay East,40795690,N,Y,37.6866997,-122.0982569
PAST SALE,January-30-2018,Single Family Residential,36194 Silverado Pl,Newark,CA,94560,1320000,4,3.0,Mayhew Landing,2317,4864,1998,8,570,55,Sold,,,http://www.redfin.com/CA/Newark/36194-Silverado-Pl-94560/home/1984655,EBRD/CCAR/Bay East,40806346,N,Y,37.5343823,-122.0596512
PAST SALE,January-12-2018,Multi-Family (2-4 Unit),641 65Th St,Oakland,CA,94609,1620000,6,3.0,Oakland,2757,4800,1923,26,588,,Sold,,,http://www.redfin.com/CA/Oakland/641-65th-St-94609/home/531372,EBRD/CCAR/Bay East,40804715,N,Y,37.8503947,-122.2639903
PAST SALE,,Vacant Land,3235 Louise St Unit C,Oakland,CA,94608,1025000,,,,,1764,,,,,,,,http://www.redfin.com/CA/Oakland/3235-Louise-St-94608/unit-C/home/143116116,,,N,Y,37.824564,-122.285189
PAST SALE,January-8-2018,Single Family Residential,978 Apgar St,Oakland,CA,94608,1115000,3,2.0,Emeryville Borde,1456,6336,1922,30,766,,Sold,,,http://www.redfin.com/CA/Oakland/978-Apgar-St-94608/home/1711271,EBRD/CCAR/Bay East,40805458,N,Y,37.8292398,-122.2768953
PAST SALE,January-19-2018,Single Family Residential,627 59Th St,Oakland,CA,94609,830000,2,1.0,N Oakland,1049,4422,1923,19,791,,Sold,,,http://www.redfin.com/CA/Oakland/627-59th-St-94609/home/1945740,EBRD/CCAR/Bay East,40804063,N,Y,37.8442078,-122.265952
PAST SALE,January-26-2018,Single Family Residential,3446 Richmond Blvd,Oakland,CA,94611,700000,3,2.0,Oak Park,1567,7250,1920,12,447,,Sold,,,http://www.redfin.com/CA/Oakland/3446-Richmond-Blvd-94611/home/525909,EBRD/CCAR/Bay East,40767059,N,Y,37.8205369,-122.2575594
PAST SALE,January-9-2018,Single Family Residential,3276 Monmouth Ct,Pleasanton,CA,94588,1170000,4,3.0,Pleasant Meadows,1941,7534,1968,29,603,31,Sold,,,http://www.redfin.com/CA/Pleasanton/3276-Monmouth-Ct-94588/home/1187483,EBRD/CCAR/Bay East,40803003,N,Y,37.693892,-121.8741564
PAST SALE,,Single Family Residential,5904 Corte Espada,Pleasanton,CA,94566,1144500,4,2.0,,1732,13426,1971,,661,,,,,http://www.redfin.com/CA/Pleasanton/5904-Corte-Espada-94566/home/1197354,,,N,Y,37.6694349,-121.8958683
PAST SALE,January-11-2018,Single Family Residential,1164 Lexington Way,Livermore,CA,94550,1350000,5,4.0,Kristopher Ranch,3828,11972,2003,27,353,,Sold,,,http://www.redfin.com/CA/Livermore/1164-Lexington-Way-94550/home/1130419,EBRD/CCAR/Bay East,40801698,N,Y,37.6519698,-121.7843786
PAST SALE,January-11-2018,Single Family Residential,1035 Sycamore Creek Way,Pleasanton,CA,94566,1800000,4,2.5,Sycamore Heights,3201,17167,2005,27,562,130,Sold,,,http://www.redfin.com/CA/Pleasanton/1035-Sycamore-Creek-Way-94566/home/2111145,EBRD/CCAR/Bay East,40801166,N,Y,37.6420924,-121.8686201
PAST SALE,,Vacant Land,4022 Knightstown St,Dublin,CA,94568,1043500,,,,,3354,,,,,,,,http://www.redfin.com/CA/Dublin/4022-Knightstown-St-94568/home/143118640,,,N,Y,37.7099,-121.854
PAST SALE,,Vacant Land,7409 Diamond Mountain Rd,Dublin,CA,94568,1708000,,,,,6609,,,,,,,,http://www.redfin.com/CA/Dublin/7409-Diamond-Mountain-Rd-94568/home/143118806,,,N,Y,37.736732,-121.8784115
