SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,October-6-2017,Single Family Residential,229 Wild Flower Ct,Pleasanton,CA,94566,890000,3,2.0,Heritage Gardens,1421,3833,1991,124,626,80,Sold,,,http://www.redfin.com/CA/Pleasanton/229-Wild-Flower-Ct-94566/home/1866718,EBRD/CCAR/Bay East,40795281,N,Y,37.6635762,-121.8600328
PAST SALE,August-29-2017,Single Family Residential,3713 Vine St,Pleasanton,CA,94566,867500,3,2.5,Heritage Gardens,1671,3760,1990,162,519,80,Sold,,,http://www.redfin.com/CA/Pleasanton/3713-Vine-St-94566/home/1190213,EBRD/CCAR/Bay East,40790260,N,Y,37.6642606,-121.8609788
PAST SALE,,Condo/Co-op,10734 Dulsie Ln #98,Dublin,CA,94568,585000,2,2.0,,1103,,1996,,530,,,,,http://www.redfin.com/CA/Dublin/10734-Dulsie-Ln-94568/unit-98/home/803054,,,N,Y,37.7003077,-121.9573616
PAST SALE,March-15-2017,Single Family Residential,5102 Angelico Ct,Pleasanton,CA,94588-4158,780000,2,2.5,Avila,1365,3101,1997,329,571,158,Sold,,,http://www.redfin.com/CA/Pleasanton/5102-Angelico-Ct-94588/home/1755226,EBRD/CCAR/Bay East,40770271,N,Y,37.6928026,-121.8893274
PAST SALE,February-13-2017,Single Family Residential,4918 Sutter Gate Ave,Pleasanton,CA,94566,1100000,4,2.5,The Gates,2125,8200,1976,359,518,,Sold,,,http://www.redfin.com/CA/Pleasanton/4918-Sutter-Gate-Ave-94566/home/1530686,EBRD/CCAR/Bay East,40767847,N,Y,37.6860001,-121.8859354
PAST SALE,February-14-2017,Condo/Co-op,2291 Segundo Ct #3,Pleasanton,CA,94588,427000,2,1.0,Laguna Vista,903,,1972,358,473,305,Sold,,,http://www.redfin.com/CA/Pleasanton/2291-Segundo-Ct-94588/unit-3/home/1640817,EBRD/CCAR/Bay East,40767872,N,Y,37.6504203,-121.9040751
PAST SALE,February-15-2017,Single Family Residential,1818 Sannita Pl,Pleasanton,CA,94566,2699000,5,5.5,Ruby Hill,6441,24951,2007,357,419,215,Sold,,,http://www.redfin.com/CA/Pleasanton/1818-Sannita-Ct-94566/home/17187444,EBRD/CCAR/Bay East,40766958,N,Y,37.6320611,-121.8085365
PAST SALE,March-15-2017,Single Family Residential,3268 Monmouth Ct,Pleasanton,CA,94580,1200000,4,3.0,Pleasanton,2441,6866,1968,329,492,29,Sold,,,http://www.redfin.com/CA/Pleasanton/3268-Monmouth-Ct-94588/home/1221493,EBRD/CCAR/Bay East,40770319,N,Y,37.6937998,-121.873957
PAST SALE,March-9-2017,Single Family Residential,3637 Pontina Ct,Pleasanton,CA,94566,2150000,4,3.5,Ruby Hill,4672,22857,2000,335,460,215,Sold,,,http://www.redfin.com/CA/Pleasanton/3637-Pontina-Ct-94566/home/675985,EBRD/CCAR/Bay East,40766346,N,Y,37.6384406,-121.8104035
PAST SALE,March-14-2017,Single Family Residential,3202 Clifford Cir,Pleasanton,CA,94588,1075000,4,2.5,Parkside,2158,8912,1985,330,498,,Sold,,,http://www.redfin.com/CA/Pleasanton/3202-Clifford-Cir-94588/home/1773593,EBRD/CCAR/Bay East,40770295,N,Y,37.6809532,-121.8962809
PAST SALE,February-21-2017,Single Family Residential,5517 Corte Sonora,Pleasanton,CA,94566,1030000,3,2.5,Del Prado,1886,6767,1968,351,546,,Sold,,,http://www.redfin.com/CA/Pleasanton/5517-Corte-Sonora-94566/home/1198031,EBRD/CCAR/Bay East,40770918,N,Y,37.6702464,-121.8899462
PAST SALE,February-24-2017,Single Family Residential,6822 Siesta Ct,Pleasanton,CA,94588,880000,3,2.0,Val Vista,1560,6565,1971,348,564,,Sold,,,http://www.redfin.com/CA/Pleasanton/6822-Siesta-Ct-94588/home/1173777,EBRD/CCAR/Bay East,40767927,N,Y,37.6806795,-121.9127701
PAST SALE,February-16-2017,Single Family Residential,5056 Woodthrush Rd,Pleasanton,CA,94566,1334000,4,2.0,Birdland,2167,7665,1968,356,616,,Sold,,,http://www.redfin.com/CA/Pleasanton/5056-Woodthrush-Rd-94566/home/1194741,EBRD/CCAR/Bay East,40767863,N,Y,37.6806337,-121.8850976
PAST SALE,February-28-2017,Single Family Residential,7288 Kenwood Rd,Dublin,CA,94568,1170247,4,4.0,Dublin,3106,3098,2016,344,377,250,Sold,,,http://www.redfin.com/CA/Dublin/7288-Kenwood-Rd-94568/home/110055740,EBRD/CCAR/Bay East,40764486,N,Y,37.73705,-121.875396
PAST SALE,February-23-2017,Single Family Residential,5889 San Juan Way,Pleasanton,CA,94566,1100000,4,2.5,Pleasanton,2245,7280,1980,349,490,,Sold,,,http://www.redfin.com/CA/Pleasanton/5889-San-Juan-Way-94566/home/1743664,EBRD/CCAR/Bay East,40762326,N,Y,37.6464361,-121.8778439
PAST SALE,June-29-2017,Single Family Residential,1413 Elliott Cir,Pleasanton,CA,94566,769000,2,3.0,Danbury Park,1609,2850,1986,223,478,92,Sold,,,http://www.redfin.com/CA/Pleasanton/1413-Elliot-Cir-94566/home/1724106,EBRD/CCAR/Bay East,40781859,N,Y,37.6773478,-121.8720883
PAST SALE,February-21-2017,Single Family Residential,5274 Blackbird Dr,Pleasanton,CA,94566,935000,4,2.0,Birdland,1975,7035,1972,351,473,,Sold,,,http://www.redfin.com/CA/Pleasanton/5274-Blackbird-Dr-94566/home/1194696,EBRD/CCAR/Bay East,40767171,N,Y,37.6795883,-121.8894687
PAST SALE,March-8-2017,Single Family Residential,3108 Thistledown Ct,Pleasanton,CA,94588,1290000,4,2.5,Pleasanton Mdws,2678,9715,1975,336,482,31,Sold,,,http://www.redfin.com/CA/Pleasanton/3108-Thistledown-Ct-94588/home/1979248,EBRD/CCAR/Bay East,40769146,N,Y,37.6941986,-121.8655564
PAST SALE,,Single Family Residential,462 Hamilton Way,Pleasanton,CA,94566,117500,4,2.0,,2273,10245,1969,,52,,,,,http://www.redfin.com/CA/Pleasanton/462-Hamilton-Way-94566/home/1202897,,,N,Y,37.6418048,-121.8799212
PAST SALE,February-8-2017,Single Family Residential,4108 Garibaldi Pl,Pleasanton,CA,94566,850000,3,2.0,Kottinger Ranch,1500,5004,1991,364,567,176,Sold,,,http://www.redfin.com/CA/Pleasanton/4108-Garibaldi-Pl-94566/home/1380671,EBRD/CCAR/Bay East,40767247,N,Y,37.654023,-121.859738
PAST SALE,February-19-2017,Single Family Residential,1809 Spumante Pl,Pleasanton,CA,94566,3770000,6,8.0,Ruby Hill,8415,33293,2000,353,448,215,Sold,,,http://www.redfin.com/CA/Pleasanton/1809-Spumante-Pl-94566/home/1204575,EBRD/CCAR/Bay East,40770790,N,Y,37.6425147,-121.8188839
PAST SALE,February-28-2017,Condo/Co-op,8170 MOUNTAIN VIEW Dr Unit C,Pleasanton,CA,94588,405000,1,1.0,Canyon Meadows,790,,1991,344,513,374,Sold,,,http://www.redfin.com/CA/Pleasanton/8170-Mountain-View-Dr-94588/unit-C/home/1604504,EBRD/CCAR/Bay East,40767377,N,Y,37.6966995,-121.95045
PAST SALE,March-9-2017,Condo/Co-op,7710 Canyon Meadow Cir Unit B,Pleasanton,CA,94588,520000,2,2.0,Canyon Meadows,1043,,1991,335,499,445,Sold,,,http://www.redfin.com/CA/Pleasanton/7710-Canyon-Meadows-Cir-94588/unit-B/home/657293,EBRD/CCAR/Bay East,40769085,N,Y,37.6973468,-121.9492832
PAST SALE,February-10-2017,Single Family Residential,3707 Fairlands Dr,Pleasanton,CA,94588,980000,4,3.0,Pleasant Meadows,2140,8058,1985,362,458,31,Sold,,,http://www.redfin.com/CA/Pleasanton/3707-Fairlands-Dr-94588/home/1189315,EBRD/CCAR/Bay East,40766801,N,Y,37.6995062,-121.8655118
PAST SALE,February-9-2017,Single Family Residential,6599 Donlon Way,Dublin,CA,94568,1157140,4,3.5,Dublin,3066,4522,2016,363,377,155,Sold,,,http://www.redfin.com/CA/Dublin/6599-Donlon-Way-94568/home/108493525,EBRD/CCAR/Bay East,40751707,N,Y,37.700596,-121.937475
