SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,December-7-2017,Single Family Residential,3237 San Marco Way,Union City,CA,94587,865000,4,2.0,Union City,1675,5500,1969,62,516,,Sold,,,http://www.redfin.com/CA/Union-City/3237-San-Marco-Way-94587/home/1403203,EBRD/CCAR/Bay East,40801612,N,Y,37.5949869,-122.0681339
PAST SALE,November-17-2017,Single Family Residential,33276 Palomino Cmn,Fremont,CA,94555,1035000,4,2.5,Kensington Park,1988,4602,1993,82,521,100,Sold,,,http://www.redfin.com/CA/Fremont/33276-Palomino-Cmn-94555/home/1152610,EBRD/CCAR/Bay East,40796661,N,Y,37.5841746,-122.0515637
PAST SALE,December-4-2017,Single Family Residential,1945 Sherman Dr,Union City,CA,94587,829000,3,2.0,Union City,1349,6000,1968,65,615,,Sold,,,http://www.redfin.com/CA/Union-City/1945-Sherman-Dr-94587/home/1816145,EBRD/CCAR/Bay East,40802298,N,Y,37.5949713,-122.0311013
PAST SALE,August-11-2017,Condo/Co-op,232 Galano Plz,UNION CITY,CA,94587,372000,2,1.0,UNION CITY,710,50943,1985,180,524,297,Sold,,,http://www.redfin.com/CA/Union-City/232-Galano-Plz-94587/unit-125/home/845665,MLSListings,ML81668221,N,Y,37.5936359,-122.00389
PAST SALE,August-17-2017,Condo/Co-op,34848 Starling Dr #1,Union City,CA,94587,410000,2,1.0,Downtown Estates,810,7543,1972,174,506,345,Sold,,,http://www.redfin.com/CA/Union-City/34848-Starling-Dr-94587/unit-1/home/1301510,EBRD/CCAR/Bay East,40790853,N,Y,37.5835338,-122.0182427
PAST SALE,August-16-2017,Townhouse,1039 Aquamarine Ter,Union City,CA,94587,715000,3,2.5,Decoto,1431,,2007,175,500,206,Sold,,,http://www.redfin.com/CA/Union-City/1039-Aquamarine-Ter-94587/home/22657229,EBRD/CCAR/Bay East,40786882,N,Y,37.5907439,-122.0141023
PAST SALE,,Single Family Residential,34452 Torrey Pine Ln,Union City,CA,94587,348000,5,3.0,,2671,5617,2000,,130,,,,,http://www.redfin.com/CA/Union-City/34452-Torrey-Pine-Ln-94587/home/1740430,,,N,Y,37.5929153,-122.0089937
PAST SALE,August-21-2017,Single Family Residential,2200 Mann Ave,UNION CITY,CA,94587,750000,3,2.0,UNION CITY,1167,5239,1977,170,643,,Sold,,,http://www.redfin.com/CA/Union-City/2200-Mann-Ave-94587/home/1313325,MLSListings,ML81671124,N,Y,37.5843234,-122.0171862
PAST SALE,August-22-2017,Single Family Residential,34373 Grand Canyon Dr,Union City,CA,94587,980000,4,3.0,Park Ridge,1997,3510,2000,169,491,,Sold,,,http://www.redfin.com/CA/Union-City/34373-Grand-Canyon-Dr-94587/home/1210259,EBRD/CCAR/Bay East,40790068,N,Y,37.5881921,-122.0056721
PAST SALE,August-28-2017,Single Family Residential,110 Pear Ln,UNION CITY,CA,94587,1002000,4,2.5,UNION CITY,1867,4968,1999,163,537,,Sold,,,http://www.redfin.com/CA/Union-City/110-Pear-Ln-94587/home/1612439,MLSListings,ML81673383,N,Y,37.5925561,-122.0065607
