SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-15-2016,Single Family Residential,1400 Temple St,MONTARA,CA,94037,2400000,5,5.5,MONTARA,5695,148199,1986,564,421,,Sold,,,http://www.redfin.com/CA/Montara/1400-Temple-St-94037/home/1931112,MLSListings,ML81565610,N,Y,37.534197,-122.49557
PAST SALE,January-13-2016,Vacant Land,0 Howells St,MONTARA,CA,94037,260000,,,MONTARA,,6200,,748,,,Sold,,,http://www.redfin.com/CA/Montara/Howells-St-94037/home/52885893,MLSListings,ML81520926,N,Y,37.5366078,-122.5005739
PAST SALE,May-9-2016,Single Family Residential,531 Sierra St,MOSS BEACH,CA,94038,1100000,4,3.0,MOSS BEACH,2300,5000,1985,631,478,,Sold,,,http://www.redfin.com/CA/Moss-Beach/531-Sierra-St-94038/home/1973251,MLSListings,ML81584594,N,Y,37.532253,-122.514765
PAST SALE,May-25-2016,Single Family Residential,440 Virginia Ave,MOSS BEACH,CA,94038,875000,2,2.0,MOSS BEACH,1100,5200,1961,615,795,,Sold,,,http://www.redfin.com/CA/Moss-Beach/440-Virginia-Ave-94038/home/1024766,MLSListings,ML81579005,N,Y,37.5255594,-122.5133958
PAST SALE,May-5-2016,Single Family Residential,1029 Pearl Ave,MOSS BEACH,CA,94038,1070000,7,3.0,MOSS BEACH,3000,3777,1900,635,357,,Sold,,,http://www.redfin.com/CA/Moss-Beach/1029-Pearl-Ave-94038/home/1666137,MLSListings,ML81522676,N,Y,37.5248115,-122.5092721
PAST SALE,January-18-2017,Single Family Residential,423 Vermont Ave,MOSS BEACH,CA,94038,870000,3,2.0,MOSS BEACH,1620,5201,1985,377,537,,Sold,,,http://www.redfin.com/CA/Moss-Beach/423-Vermont-Ave-94038/home/731015,MLSListings,ML81613562,N,Y,37.5251961,-122.5132319
PAST SALE,November-23-2016,Single Family Residential,338 Virginia Ave,MOSS BEACH,CA,94038,749000,3,1.5,MOSS BEACH,900,5200,1965,433,832,,Sold,,,http://www.redfin.com/CA/Moss-Beach/338-Virginia-Ave-94038/home/1238645,MLSListings,ML81600780,N,Y,37.5246119,-122.5140808
PAST SALE,January-24-2017,Vacant Land,0 Virginia,MOSS BEACH,CA,94038,340000,,,MOSS BEACH,,5201,,371,,,Sold,,,http://www.redfin.com/CA/Moss-Beach/Virginia-Ave-94038/home/21838603,MLSListings,ML81595684,N,Y,37.5258073,-122.5135396
PAST SALE,May-21-2015,Single Family Residential,550 Stetson St,MOSS BEACH,CA,94038,1325550,2,1.0,MOSS BEACH,960,10000,1951,985,1381,,Sold,,,http://www.redfin.com/CA/Moss-Beach/550-Stetson-St-94038/home/1058340,MLSListings,ML81460768,N,Y,37.5308307,-122.5155652
PAST SALE,,Single Family Residential,323 Nevada Ave,Moss Beach,CA,94038,1550000,3,2.0,,2020,5000,1961,,767,,,,,http://www.redfin.com/CA/Moss-Beach/323-Nevada-Ave-94038/home/1925564,,,N,Y,37.5252498,-122.5161624
