SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,January-12-2018,Single Family Residential,792 Penitencia St,MILPITAS,CA,95035,940000,3,1.0,MILPITAS,1068,6000,1962,18,880,,Sold,,,http://www.redfin.com/CA/Milpitas/792-Penitencia-St-95035/home/1373562,MLSListings,ML81686433,N,Y,37.4384533,-121.9138095
PAST SALE,October-20-2017,Single Family Residential,2021 Conway St,MILPITAS,CA,95035,850000,3,1.0,MILPITAS,900,5985,1960,102,944,,Sold,,,http://www.redfin.com/CA/Milpitas/2021-Conway-St-95035/home/553193,MLSListings,ML81680328,N,Y,37.4609929,-121.9056999
PAST SALE,,Condo/Co-op,468 Dempsey Rd Unit 269,Milpitas,CA,95035,149000,2,1.0,,842,,2007,,177,,,,,http://www.redfin.com/CA/Milpitas/468-Dempsey-Rd-95035/unit-269/home/12179196,,,N,Y,37.429513,-121.884138
PAST SALE,August-21-2017,Condo/Co-op,338 San Petra Ct #1,MILPITAS,CA,95035,540000,3,1.0,MILPITAS,1050,1800,1971,162,514,419,Sold,,,http://www.redfin.com/CA/Milpitas/338-San-Petra-Ct-95035/unit-1/home/812355,MLSListings,ML81656121,N,Y,37.4249041,-121.9099797
PAST SALE,January-10-2018,Single Family Residential,601 Heath St,MILPITAS,CA,95035,850000,3,1.0,MILPITAS,980,6000,1960,20,867,,Sold,,,http://www.redfin.com/CA/Milpitas/601-Heath-St-95035/home/1509512,MLSListings,ML81683434,N,Y,37.4386898,-121.91918
PAST SALE,November-22-2017,Condo/Co-op,1053 N Abbott Ave,MILPITAS,CA,95035,480000,2,1.0,MILPITAS,863,1215,1979,69,556,432,Sold,,,http://www.redfin.com/CA/Milpitas/1053-N-Abbott-Ave-95035/home/551653,MLSListings,ML81680186,N,Y,37.442385,-121.916753
PAST SALE,October-12-2017,Condo/Co-op,408 Dempsey Rd #108,MILPITAS,CA,95035,451000,2,1.0,MILPITAS,842,842,2007,110,536,345,Sold,,,http://www.redfin.com/CA/Milpitas/408-Dempsey-Rd-95035/unit-108/home/12179108,MLSListings,ML81675820,N,Y,37.4288028,-121.8843556
PAST SALE,August-18-2017,Single Family Residential,444 Elm Ct,MILPITAS,CA,95035,735000,3,1.0,MILPITAS,1128,7200,1960,165,652,,Sold,,,http://www.redfin.com/CA/Milpitas/444-Elm-Ct-95035/home/549181,MLSListings,ML81671580,N,Y,37.4367806,-121.9160068
PAST SALE,November-29-2017,Condo/Co-op,359 Junipero Dr #4,MILPITAS,CA,95035,580000,3,1.0,MILPITAS,1030,1800,1974,62,563,415,Sold,,,http://www.redfin.com/CA/Milpitas/359-Junipero-Dr-95035/unit-4/home/687761,MLSListings,ML81680130,N,Y,37.4252121,-121.9116304
PAST SALE,October-19-2017,Condo/Co-op,464 Dempsey Rd #264,MILPITAS,CA,95035,450000,2,1.0,MILPITAS,842,842,2007,103,534,359,Sold,,,http://www.redfin.com/CA/Milpitas/464-Dempsey-Rd-95035/unit-264/home/12179191,MLSListings,ML81678069,N,Y,37.429385,-121.883904
PAST SALE,September-26-2017,Condo/Co-op,700 S Abel St #508,MILPITAS,CA,95035,475000,1,1.0,MILPITAS,932,435,2007,126,510,408,Sold,,,http://www.redfin.com/CA/Milpitas/700-S-Abel-St-95035/unit-508/home/17289974,MLSListings,ML81673287,N,Y,37.420656,-121.905644
